RUN	simulations.CircuitBreakerSimulation	circuitbreakersimulation	1554985040255	 	3.0.3
REQUEST	122		circuit-breaker	1554985061214	1554985061764	OK	 
USER	Circuit breaker scenario	122	END	1554985061214	1554985061765
USER	Circuit breaker scenario	129	START	1554985061845	1554985061845
USER	Circuit breaker scenario	130	START	1554985061934	1554985061934
USER	Circuit breaker scenario	131	START	1554985062022	1554985062022
REQUEST	131		circuit-breaker	1554985062023	1554985062035	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	131	END	1554985062022	1554985062036
REQUEST	125		circuit-breaker	1554985061485	1554985062044	OK	 
USER	Circuit breaker scenario	125	END	1554985061483	1554985062045
REQUEST	124		circuit-breaker	1554985061393	1554985062056	OK	 
USER	Circuit breaker scenario	124	END	1554985061392	1554985062058
USER	Circuit breaker scenario	132	START	1554985062123	1554985062123
REQUEST	126		circuit-breaker	1554985061574	1554985062209	OK	 
USER	Circuit breaker scenario	126	END	1554985061573	1554985062210
USER	Circuit breaker scenario	133	START	1554985062213	1554985062213
USER	Circuit breaker scenario	134	START	1554985062302	1554985062302
USER	Circuit breaker scenario	135	START	1554985062393	1554985062393
REQUEST	135		circuit-breaker	1554985062394	1554985062405	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	135	END	1554985062393	1554985062405
USER	Circuit breaker scenario	136	START	1554985062482	1554985062482
REQUEST	129		circuit-breaker	1554985061846	1554985062543	OK	 
USER	Circuit breaker scenario	129	END	1554985061845	1554985062544
USER	Circuit breaker scenario	137	START	1554985062573	1554985062573
REQUEST	128		circuit-breaker	1554985061754	1554985062607	OK	 
USER	Circuit breaker scenario	128	END	1554985061753	1554985062608
REQUEST	130		circuit-breaker	1554985061935	1554985062659	OK	 
USER	Circuit breaker scenario	130	END	1554985061934	1554985062659
USER	Circuit breaker scenario	138	START	1554985062662	1554985062662
USER	Circuit breaker scenario	139	START	1554985062753	1554985062753
REQUEST	139		circuit-breaker	1554985062755	1554985062769	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	139	END	1554985062753	1554985062770
USER	Circuit breaker scenario	140	START	1554985062842	1554985062842
USER	Circuit breaker scenario	141	START	1554985062924	1554985062924
USER	Circuit breaker scenario	142	START	1554985063004	1554985063004
REQUEST	133		circuit-breaker	1554985062214	1554985063019	OK	 
USER	Circuit breaker scenario	133	END	1554985062213	1554985063020
REQUEST	132		circuit-breaker	1554985062123	1554985063055	OK	 
USER	Circuit breaker scenario	132	END	1554985062123	1554985063056
USER	Circuit breaker scenario	143	START	1554985063093	1554985063093
REQUEST	143		circuit-breaker	1554985063094	1554985063113	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	143	END	1554985063093	1554985063114
REQUEST	134		circuit-breaker	1554985062303	1554985063129	OK	 
USER	Circuit breaker scenario	134	END	1554985062302	1554985063129
USER	Circuit breaker scenario	144	START	1554985063172	1554985063172
USER	Circuit breaker scenario	145	START	1554985063252	1554985063252
USER	Circuit breaker scenario	146	START	1554985063342	1554985063342
USER	Circuit breaker scenario	147	START	1554985063423	1554985063423
REQUEST	147		circuit-breaker	1554985063423	1554985063436	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
